class,slot,slot_uri,slot notes,instance notes,scn token inconsistencies,sheet,MIXS ID,Environmental package,Structured comment name,Item (rdfs:label) / Package item,Definition,Expected value,Value syntax,Example,Section,Requirement,migs_eu,migs_ba,migs_pl,migs_vi,migs_org,mims,mimarks_s,mimarks_c,misag,mimag,miuvig,Preferred unit,Occurence/Occurrence,,,,,,
BuiltEnvironment,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,built environment,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
Checklist,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,MixS,MIXS:0001107,,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,investigation,,M,M,M,M,M,M,M,M,M,M,M,,1,,
FoodAnimalAndAnimalFeed,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,food-animal and animal feed,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,, ,1,,
FoodFarmEnvironment,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,food-farm environment,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,, ,1,,
FoodFoodProductionFacility,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,food-food production facility,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,, ,1,,
FoodHumanFoods,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,food-human foods,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,, ,1,,
HostAssociated,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,host-associated,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
HumanAssociated,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,human-associated,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
HumanGut,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,human-gut,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
HumanOral,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,human-oral,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
HumanSkin,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,human-skin,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
HumanVaginal,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,human-vaginal,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
HydrocarbonResourcesCores,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,hydrocarbon resources-cores,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
HydrocarbonResourcesFluidsSwabs,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,hydrocarbon resources-fluids/swabs,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
MicrobialMatBiofilm,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,microbial mat/biofilm,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
MiscellaneousNaturalOrArtificialEnvironment,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,miscellaneous natural or artificial environment,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
PlantAssociated,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,plant-associated,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
Sediment,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,sediment,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
Soil,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,soil,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
WastewaterSludge,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,wastewater/sludge,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
Water,samp_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,water,samp_name,sample name ,A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,
FoodHumanFoods,sample_collec_method,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and three packages say samp_collect_method. three packages say samp_collect_method. FoodHumanFoods says sample_collec_method.,,,environmental_packages,MIXS:0001225,food-human foods,sample_collec_method,sample collection method,The method employed for collecting the sample.,PMID,DOI,url , or text,{PMID}|{DOI}|{URL}|{text},environmental swab sampling,,X,,,,,,,,,,,,,1,,,
SymbiontAssociated,sample_name,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ and symbiont-associated say sample_name. Checklist and 21 packages say samp_name.,,,environmental_packages,MIXS:0001107,symbiont-associated,sample_name,sample name,Sample Name is a name that you choose for the sample. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. Every Sample Name from a single Submitter must be unique.,text,{text},ISDsoil1,,M,,,,,,,,,,,,,1,,,
Agriculture,soil_depth,,11 packages say MIXS:0000018 = depth. Agriculture says _soil_depth_. https://www.ncbi.nlm.nih.gov/biosample/docs/attributes acknowledges both terms,,,environmental_packages,MIXS:0000018,agriculture,soil_depth,soil depth,The vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.,Depth can be reported as an interval for subsurface samples.,{float} {unit},5 cm,,C,,,,,,,,,,,,cm,,,,,
Agriculture,soil_horizon,,Agriculture says MIXS:0001082 = _horizon_ and MIXS:0001291 = _soil_horizon_. Soil says MIXS:0001082 = _soil_horizon_. https://www.ncbi.nlmsoil_horizon.nih.gov/biosample/docs/attributes/ only acknowledges soil_horizon,,,environmental_packages,MIXS:0001291,agriculture,soil_horizon,soil horizon,soil horizon is defined as the layer parallel to the soil surface whose physical, chemical and biological characteristics differ from the layers above and beneath. Horizon can be described both in absolute terms (particle size distribution for texture, for instance) and in terms relative to the surrounding material, i.e. ‘coarser’ or ‘sandier’ than the horizons above and below.,enumeration,enumeration,[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost],,C,,,,,,,,,,,,,1,,,
Soil,soil_horizon,,Agriculture says MIXS:0001082 = _horizon_ and MIXS:0001291 = _soil_horizon_. Soil says MIXS:0001082 = _soil_horizon_. https://www.ncbi.nlmsoil_horizon.nih.gov/biosample/docs/attributes/ only acknowledges soil_horizon,,,environmental_packages,MIXS:0001082,soil,soil_horizon,soil horizon,Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath,enumeration,[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost],A horizon,,X,,,,,,,,,,,,,1,,,,,,
Soil,soil_text_measure,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributesoil_text_measures/ has soil_texture_meth. MIXS:0000335, MIXS:0000336. ,,,environmental_packages,MIXS:0000335,soil,soil_text_measure,soil texture measurement,The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.,measurement value,{float} {unit},,,X,,,,,,,,,,,,,1,
FoodFarmEnvironment,soil_texture_meth,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributesoil_text_measures/ has soil_texture_meth. MIXS:0000335, MIXS:0000336. ,,,environmental_packages,MIXS:0000336,food-farm environment,soil_texture_meth,soil texture method,Reference or method used in determining soil texture classification.,PMID,DOI or url,{PMID}|{DOI}|{URL},https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/particle_size.pdf (hydrometer method),,X,,,,,,,,,,,,,1,,,,
Soil,soil_texture_meth,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributesoil_text_measures/ has soil_texture_meth. MIXS:0000335, MIXS:0000336. ,,,environmental_packages,MIXS:0000336,soil,soil_texture_meth,soil texture method,Reference or method used in determining soil texture,PMID,DOI or url,{PMID}|{DOI}|{URL},,,X,,,,,,,,,,,,,1,,,,
Agriculture,texture,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributesoil_text_measures/ has soil_texture_meth. MIXS:0000335, MIXS:0000336. texture, texture_meth,,,environmental_packages,MIXS:0000335,agriculture,texture,texture,The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.,measurement value,{float} {unit},,,X,,,,,,,,,,,,,1
Agriculture,texture_meth,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributesoil_text_measures/ has soil_texture_meth. MIXS:0000335, MIXS:0000336. ,,,environmental_packages,MIXS:0000336,agriculture,texture_meth,texture method,Reference or method used in determining soil texture.,PMID,DOI or url,{PMID}|{DOI}|{URL},,,X,,,,,,,,,,,,,1,,,,
Agriculture,tot_n_meth,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_n_meth (agriculture only) and tot_nitro_cont_meth (two packages),,,environmental_packages,MIXS:0000338,agriculture,tot_n_meth,total nitrogen method,Reference or method used in determining the total nitrogen,PMID,DOI or url,{PMID|DOI|URL},,,C,,,,,,,,,,,,,1,,,,,
Agriculture,tot_nitro,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_nitro. 4 packages associate MIXS:0000530 with tot_nitro_content. 4 packages associate MIXS:0000102 with tot_nitro. Agriculture ALONE associates MIXS:0000530 with tot_nitro.,,,environmental_packages,MIXS:0000530,agriculture,tot_nitro,total nitrogen,Total nitrogen content of the sample,measurement value,{float} {unit},,,C,,,,,,,,,,,,microgram per liter, micromole per liter,1,,,,,
HydrocarbonResourcesCores,tot_nitro,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_nitro. 4 packages associate MIXS:0000530 with tot_nitro_content. 4 packages associate MIXS:0000102 with tot_nitro. Agriculture ALONE associates MIXS:0000530 with tot_nitro.,,,environmental_packages,MIXS:0000102,hydrocarbon resources-cores,tot_nitro,total nitrogen concentration,Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen,measurement value,{float} {unit},50 micromole per liter,,X,,,,,,,,,,,,microgram per liter, micromole per liter, milligram per liter,1,,
HydrocarbonResourcesFluidsSwabs,tot_nitro,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_nitro. 4 packages associate MIXS:0000530 with tot_nitro_content. 4 packages associate MIXS:0000102 with tot_nitro. Agriculture ALONE associates MIXS:0000530 with tot_nitro.,,,environmental_packages,MIXS:0000102,hydrocarbon resources-fluids/swabs,tot_nitro,total nitrogen concentration,Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen,measurement value,{float} {unit},50 micromole per liter,,X,,,,,,,,,,,,microgram per liter, micromole per liter, milligram per liter,1,,
WastewaterSludge,tot_nitro,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_nitro. 4 packages associate MIXS:0000530 with tot_nitro_content. 4 packages associate MIXS:0000102 with tot_nitro. Agriculture ALONE associates MIXS:0000530 with tot_nitro.,,,environmental_packages,MIXS:0000102,wastewater/sludge,tot_nitro,total nitrogen concentration,Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen,measurement value,{float} {unit},50 micromole per liter,,X,,,,,,,,,,,,microgram per liter, micromole per liter, milligram per liter,1,,
Water,tot_nitro,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_nitro. 4 packages associate MIXS:0000530 with tot_nitro_content. 4 packages associate MIXS:0000102 with tot_nitro. Agriculture ALONE associates MIXS:0000530 with tot_nitro.,,,environmental_packages,MIXS:0000102,water,tot_nitro,total nitrogen concentration,Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen,measurement value,{float} {unit},50 micromole per liter,,X,,,,,,,,,,,,microgram per liter, micromole per liter, milligram per liter,1,,
FoodFarmEnvironment,tot_nitro_cont_meth,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_n_meth (agriculture only) and tot_nitro_cont_meth (two packages),,,environmental_packages,MIXS:0000338,food-farm environment,tot_nitro_cont_meth,total nitrogen content method,Reference or method used in determining the total nitrogen.,PMID,DOI or url,{PMID}|{DOI}|{URL},https://currentprotocols.onlinelibrary.wiley.com/doi/abs/10.1002/0471142913.fab0102s00,,X,,,,,,,,,,,,,m,,,,,
Soil,tot_nitro_cont_meth,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_n_meth (agriculture only) and tot_nitro_cont_meth (two packages),,,environmental_packages,MIXS:0000338,soil,tot_nitro_cont_meth,total nitrogen content method,Reference or method used in determining the total nitrogen,PMID,DOI or url,{PMID}|{DOI}|{URL},,,X,,,,,,,,,,,,,1,,,,,
FoodFarmEnvironment,tot_nitro_content,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_nitro. 4 packages associate MIXS:0000530 with tot_nitro_content. 4 packages associate MIXS:0000102 with tot_nitro. Agriculture ALONE associates MIXS:0000530 with tot_nitro.,,,environmental_packages,MIXS:0000530,food-farm environment,tot_nitro_content,total nitrogen content,Total nitrogen content of the sample.,measurement value,{float} {unit},35 milligrams Nitrogen per kilogram of soil,,X,,,,,,,,,,,,milligrams Nitrogen per kilogram of soil,m,,,,,,
MicrobialMatBiofilm,tot_nitro_content,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_nitro. 4 packages associate MIXS:0000530 with tot_nitro_content. 4 packages associate MIXS:0000102 with tot_nitro. Agriculture ALONE associates MIXS:0000530 with tot_nitro.,,,environmental_packages,MIXS:0000530,microbial mat/biofilm,tot_nitro_content,total nitrogen content,Total nitrogen content of the sample,measurement value,{float} {unit},,,X,,,,,,,,,,,,microgram per liter, micromole per liter, milligram per liter,1,,,,
Sediment,tot_nitro_content,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_nitro. 4 packages associate MIXS:0000530 with tot_nitro_content. 4 packages associate MIXS:0000102 with tot_nitro. Agriculture ALONE associates MIXS:0000530 with tot_nitro.,,,environmental_packages,MIXS:0000530,sediment,tot_nitro_content,total nitrogen content,Total nitrogen content of the sample,measurement value,{float} {unit},,,X,,,,,,,,,,,,microgram per liter, micromole per liter, milligram per liter,1,,,,
Soil,tot_nitro_content,,https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/ has tot_nitro. 4 packages associate MIXS:0000530 with tot_nitro_content. 4 packages associate MIXS:0000102 with tot_nitro. Agriculture ALONE associates MIXS:0000530 with tot_nitro.,,,environmental_packages,MIXS:0000530,soil,tot_nitro_content,total nitrogen content,Total nitrogen content of the sample,measurement value,{float} {unit},,,X,,,,,,,,,,,,microgram per liter, micromole per liter, milligram per liter,1,,,,
Agriculture,tot_phos,,The label for this term is _total phosphorous_, but the description is _Total amount or concentration of phosphate_ . _tot_phos_ does not appear as a name or synonymn at https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/. WastewaterSludge associates the id MIXS:0000689 with tot_phosphate. two votes for phosphate,,,environmental_packages,MIXS:0000689,agriculture,tot_phos,total phosphorous,Total amount or concentration of phosphate,measurement value,{float} {unit},,,C,,,,,,,,,,,,microgram per liter, micromole per liter,1,,,,
Agriculture,url,,Checklist says MIXS:0000091 = _associated resource_ note whitespace in SCN. Agriculture says MIXS:0000091 = _url _. Neither found as names or synonyms at https://www.ncbi.nlm.nih.gov/biosample/docs/attributes/,,,environmental_packages,MIXS:0000091,agriculture,url,relevant electronic resources,A related resource that is referenced, cited, or otherwise associated to the sequence.,URL,{URL},,,C,,,,,,,,,,,,,m,,,,
