MIXS ID	Structured comment name	Item	Expected value	Value syntax	Occurrence	Preferred unit	Definition
MIXS:0000026	source_mat_id	source material identifiers	for cultures of microorganisms: identifiers for two culture collections;for other material a unique arbitrary identifer	{text}	m		A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2).
MIXS:0001171	spikein_antibiotic	spike-in with antibiotics	drug name;concentration	{text} {integer}	m		Antimicrobials used in research study to assess effects of exposure on microbiome of a specific site. Please list antimicrobial, common name and/or class and concentration used for spike-in.
MIXS:0000515	part_org_carb	particulate organic carbon	measurement value	{float} {unit}	1	microgram per liter, micromole per liter	Concentration of particulate organic carbon
MIXS:0001161	rel_location	relative location of sample	text	{text}	1		Location of sampled soil to other parts of the farm e.g. under crop plant, near irrigation ditch, from the dirt road.
MIXS:0000429	chloride	chloride	measurement value	{float} {unit}	1	milligram per liter, parts per million	Concentration of chloride in the sample
MIXS:0001136	food_prod_char	food production characteristics	text	{text}	m		Descriptors of the food production system such as wild caught, free-range, organic, free-range, industrial, dairy, beef.
MIXS:0000423	sulfate	sulfate	measurement value	{float} {unit}	1	micromole per liter, milligram per liter, parts per million	Concentration of sulfate in the sample
MIXS:0000647	slope_aspect	slope aspect	measurement value	{float} {unit}	1	degree	The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees);e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.
MIXS:0000059	annot	annotation	name of tool or pipeline used, or annotation source description	{text}	1		Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter
MIXS:0001167	spikein_org	spike in organism	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	m		Taxonomic information about the spike-in organism(s). This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.
MIXS:0000752	misc_param	miscellaneous parameter	parameter name;measurement value	{text};{float} {unit}	m		Any other measurement performed or parameter collected, that is not listed here.
MIXS:0001044	growth_habit	growth habit	enumeration	[erect|semi-erect|spreading|prostrate]	1		Characteristic shape, appearance or growth form of a plant species.
MIXS:0001145	library_prep_kit	library preparation kit	name of library preparation kit	{text}	1		Packaged kits (containing adapters, indexes, enzymes, buffers etc.), tailored for specific sequencing workflows, which allow the simplified preparation of sequencing-ready libraries for small genomes, amplicons, and plasmids.
MIXS:0001131	food_contact_surf	food contact surface	FOODON:03500010	{text}|{termLabel} {[termID]}	m		The specific container or coating materials in direct contact with the food. Multiple values can be assigned. This field accepts terms listed under food contact surface (http://purl.obolibrary.org/obo/FOODON_03500010).
MIXS:0000045	target_subfragment	target subfragment	gene fragment name	{text}	1		Name of subfragment of a gene or locus. Important to e.g. identify special regions on marker genes like V6 on 16S rRNA
MIXS:0000504	nitro	nitrogen	measurement value	{float} {unit}	1	micromole per liter	Concentration of nitrogen (total)
MIXS:0000030	host_spec_range	host specificity or range	NCBI taxid	{integer}	m		The range and diversity of host species that an organism is capable of infecting, defined by NCBI taxonomy identifier.
MIXS:0000005	contam_screen_input	contamination screening input	enumeration	[reads| contigs]	1		The type of sequence data used as input
MIXS:0000008	experimental_factor	experimental factor	text or EFO and/or OBI	{termLabel} {[termID]}|{text}	1		Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO;for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI
MIXS:0000174	biomass	biomass	biomass type;measurement value	{text};{float} {unit}	m	ton, kilogram, gram	Amount of biomass;should include the name for the part of biomass measured, e.g. Microbial, total. Can include multiple measurements
MIXS:0000073	contam_screen_param	contamination screening parameters	enumeration;value or name	[ref db|kmer|coverage|combination];{text|integer}	1		Specific parameters used in the decontamination sofware, such as reference database, coverage, and kmers. Combinations of these parameters may also be used, i.e. kmer and coverage, or reference database and kmer
MIXS:0001146	air_flow_impede	local air flow impediments	enumeration;obstruction type;distance from sampling device	[obstructed|unobstructed];{text};{measurement value}	m		Presence of objects in the area that would influence or impede air flow through the air filter.
MIXS:0000038	nucl_acid_amp	nucleic acid amplification	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the enzymatic amplification (PCR, TMA, NASBA) of specific nucleic acids
MIXS:0000684	bac_resp	bacterial respiration	measurement value	{float} {unit}	1	milligram per cubic meter per day, micromole oxygen per liter per hour	Measurement of bacterial respiration in the water column
MIXS:0000728	primary_prod	primary production	measurement value	{float} {unit}	1	milligram per cubic meter per day, gram per square meter per day	Measurement of primary production, generally measured as isotope uptake
MIXS:0001137	food_trav_mode	food shipping transportation method	GENEPIO:0001064	{termLabel} {[termID]}	m		A descriptor for the method of movement of food commodity along the food distribution system. This field accepts terms listed under travel mode (http://purl.obolibrary.org/obo/GENEPIO_0001064). If the proper descrptor is not listed please use text to describe the mode of travel. Multiple terms can be separated by one or more pipes.
MIXS:0000108	air_PM_concen	air particulate matter concentration	particulate matter name;measurement value	{text};{float} {unit}	m	micrograms per cubic meter	Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5);can report multiple PM's by entering numeric values preceded by name of PM
MIXS:0000578	root_med_macronutr	rooting medium macronutrients	macronutrient name;measurement value	{text};{float} {unit}	1	milligram per liter	Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S);e.g. KH2PO4 (170 mg/L).
MIXS:0000184	silicate	silicate	measurement value	{float} {unit}	1	micromole per liter	Concentration of silicate
MIXS:0000178	diether_lipids	diether lipids	diether lipid name;measurement value	{text};{float} {unit}	m	nanogram per liter	Concentration of diether lipids;can include multiple types of diether lipids
MIXS:0001134	food_pack_medium	food packing medium	FOODON:03480020	{text}|{termLabel} {[termID]}	m		The medium in which the food is packed for preservation and handling or the medium surrounding homemade foods, e.g., peaches cooked in sugar syrup. The packing medium may provide a controlled environment for the food. It may also serve to improve palatability and consumer appeal. This includes edible packing media (e.g. fruit juice), gas other than air (e.g. carbon dioxide), vacuum packed, or packed with aerosol propellant. This field accepts terms under food packing medium (http://purl.obolibrary.org/obo/FOODON_03480020). Multiple terms may apply and can be separated by pipes.
MIXS:0001082	soil_horizon	soil horizon	enumeration	[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]	1		Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath
MIXS:0000090	sop	relevant standard operating procedures	reference to SOP	{PMID}|{DOI}|{URL}	m		Standard operating procedures used in assembly and/or annotation of genomes, metagenomes or environmental sequences
MIXS:0000065	16s_recover	16S recovered	boolean	{boolean}	1		Can a 16S gene be recovered from the submitted SAG or MAG?
MIXS:0001129	animal_group_size	food animal group size	value	{integer}	1		The number of food animals of the same species that are maintained together as a unit, i.e. a herd or flock.
MIXS:0000044	target_gene	target gene	gene name	{text}	1		Targeted gene or locus name for marker gene studies
MIXS:0000116	samp_store_dur	sample storage duration	duration	{duration}	1		Duration for which the sample was stored. Indicate the duration for which the sample was stored written in ISO 8601 format.
MIXS:0000022	num_replicons	number of replicons	for eukaryotes and bacteria: chromosomes (haploid count);for viruses: segments	{integer}	1		Reports the number of replicons in a nuclear genome of eukaryotes, in the genome of a bacterium or archaea or the number of segments in a segmented virus. Always applied to the haploid chromosome count of a eukaryote
MIXS:0000092	project_name	project name	text	{text}	1		Name of the project within which the sequencing was organized.
MIXS:0000336	soil_texture_meth	soil texture method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining soil texture
MIXS:0000024	estimated_size	estimated size	number of base pairs	{integer} bp	1		The estimated size of the genome prior to sequencing. Of particular importance in the sequencing of (eukaryotic) genome which could remain in draft form for a long or unspecified period.
MIXS:0000027	pathogenicity	known pathogenicity	names of organisms that the entity is pathogenic to	{text}	1		To what is the entity pathogenic
MIXS:0000070	compl_software	completeness software	names and versions of software(s) used	{software};{version}	1		Tools used for completion estimate, i.e. checkm, anvi'o, busco
MIXS:0000421	alkalinity	alkalinity	measurement value	{float} {unit}	1	milliequivalent per liter, milligram per liter	Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
MIXS:0000106	diss_inorg_phosp	dissolved inorganic phosphorus	measurement value	{float} {unit}	1	microgram per liter, milligram per liter, parts per million, micromole per liter	Concentration of dissolved inorganic phosphorus in the sample
MIXS:0001176	water_source_shared	water source shared	enumeration	[multiple users, agricutural|multiple users, other|no sharing]	m		Other users sharing access to the same water source. Multiple terms can be separated by one or more pipes.
MIXS:0001153	samp_pooling	sample pooling	text	{text}	m		Physical combination of several instances of like material, e.g. RNA extracted from samples or dishes of cell cultures into one big aliquot of cells. Please provide a short description of the samples that were pooled.
MIXS:0001086	fire	history/fire	date	{timestamp}	1		Historical and/or physical evidence of fire
MIXS:0000312	cur_vegetation	current vegetation	current vegetation type	{text}	1		Vegetation classification from one or more standard classification systems, or agricultural crop
MIXS:0000176	bromide	bromide	measurement value	{float} {unit}	1	parts per million	Concentration of bromide
MIXS:0000035	source_uvig	source of UViGs	enumeration	[metagenome (not viral targeted)|viral fraction metagenome (virome)|sequence-targeted metagenome|metatranscriptome (not viral targeted)|viral fraction RNA metagenome (RNA virome)|sequence-targeted RNA metagenome|microbial single amplified genome (SAG)|viral single amplified genome (vSAG)|isolate microbial genome|other]	1		Type of dataset from which the UViG was obtained
MIXS:0000029	specific_host	host scientific name	host scientific name, taxonomy ID	{text}|{NCBI taxid}	1		Report the host's taxonomic name and/or NCBI taxonomy ID.
MIXS:0000082	pred_genome_type	predicted genome type	enumeration	[DNA|dsDNA|ssDNA|RNA|dsRNA|ssRNA|ssRNA (+)|ssRNA (-)|mixed|uncharacterized]	1		Type of genome predicted for the UViG
MIXS:0000250	host_taxid	host taxid	NCBI taxon identifier	{NCBI taxid}	1		NCBI taxon id of the host, e.g. 9606.
MIXS:0000025	ref_biomaterial	reference for biomaterial	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		Primary publication if isolated before genome publication;otherwise, primary genome report.
MIXS:0000257	host_dry_mass	host dry mass	measurement value	{float} {unit}	1	kilogram, gram	Measurement of dry mass.
MIXS:0000325	pool_dna_extracts	pooling of DNA extracts (if done)	pooling status;number of pooled extracts	{boolean};{integer}	1		Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given
MIXS:0000049	pcr_cond	pcr conditions	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	1		Description of reaction conditions and components of PCR in the form of 'initial denaturation:94degC_1.5min;annealing=...'
MIXS:0000334	soil_type_meth	soil type method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining soil series name or other lower-level classification.
MIXS:0000365	host_genotype	host genotype	genotype	{text}	1		Observed genotype.
MIXS:0000037	nucl_acid_ext	nucleic acid extraction	PMID, DOI or URL	{PMID}|{DOI}|{URL}	1		A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.
MIXS:0001061	root_cond	rooting conditions	PMID,DOI,url or free text	{PMID}|{DOI}|{URL}|{text}	1		Relevant rooting conditions such as field plot size, sowing density, container dimensions, number of plants per container.
MIXS:0001182	food_clean_proc	food cleaning process	enumeration	[drum and drain|manual spinner|rinsed with sanitizer solution|rinsed with water|scrubbed with brush|scrubbed with hand|soaking]	m		The process of cleaning food to separate other environmental materials from the food source. Multiple terms can be separated by pipes.
MIXS:0001138	food_trav_vehic	Food shipping transportation vehicle	ENVO:01000604	{text}|{termLabel} {[termID]}	m		A descriptor for the mobile machine which is used to transport food commodities along the food distribution system. This field accepts terms listed under vehicle (http://purl.obolibrary.org/obo/ENVO_01000604). If the proper descrptor is not listed please use text to describe the mode of travel. Multiple terms can be separated by one or more pipes.
MIXS:0000502	mean_peak_frict_vel	mean peak friction velocity	measurement value	{float} {unit}	1	meter per second	Measurement of mean peak friction velocity
MIXS:0000036	virus_enrich_appr	virus enrichment approach	enumeration	[filtration|ultrafiltration|centrifugation|ultracentrifugation|PEG Precipitation|FeCl Precipitation|CsCl density gradient|DNAse|RNAse|targeted sequence capture|other|none]	1		List of approaches used to enrich the sample for viruses, if any
MIXS:0000063	sim_search_meth	similarity search method	names and versions of software(s), parameters used	{software};{version};{parameters}	1		Tool used to compare ORFs with database, along with version and cutoffs used
MIXS:0000180	phaeopigments	phaeopigments	phaeopigment name;measurement value	{text};{float} {unit}	m	milligram per cubic meter	Concentration of phaeopigments;can include multiple phaeopigments
MIXS:0000331	local_class_meth	soil_taxonomic/local classification method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining the local soil classification
MIXS:0000050	seq_meth	sequencing method	Text or OBI	{termLabel} {[termID]}|{text}	1		Sequencing machine used. Where possible the term should be taken from the OBI list of DNA sequencers (http://purl.obolibrary.org/obo/OBI_0400103).
MIXS:0000011	collection_date	collection date	date and time	{timestamp}	1		The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00;2008-01-23T19:23:10;2008-01-23;2008-01;2008;Except: 2008-01;2008 all are ISO8601 compliant.
MIXS:0000064	tax_class	taxonomic classification	classification method, database name, and other parameters	{text}	1		Method used for taxonomic classification, along with reference database used, classification rank, and thresholds used to classify new genomes
MIXS:0000088	host_pred_appr	host prediction approach	enumeration	[provirus|host sequence similarity|CRISPR spacer match|kmer similarity|co-occurrence|combination|other]	1		Tool or approach used for host prediction
MIXS:0000339	micro_biomass_meth	microbial biomass method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining microbial biomass
MIXS:0000173	bacteria_carb_prod	bacterial carbon production	measurement value	{float} {unit}	1	nanogram per hour, microgram per liter per hour	Measurement of bacterial carbon production
MIXS:0000086	otu_seq_comp_appr	OTU sequence comparison approach	software name, version and relevant parameters	{software};{version};{parameters}	1		"Tool and thresholds used to compare sequences when computing ""species-level"" OTUs"
MIXS:0001111	plant_water_method	plant water delivery method	AGRO_00000006	{termLabel} {[termID]}	1		Description of the equipment or method used to distribute water to crops. This field accepts termed listed under irrigation process (http://purl.obolibrary.org/obo/AGRO_00000006). Multiple terms can be separated by pipes.
MIXS:0000744	tot_diss_nitro	total dissolved nitrogen	measurement value	{float} {unit}	1	microgram per liter	Total dissolved nitrogen concentration, reported as nitrogen, measured by: total dissolved nitrogen = NH4 + NO3NO2 + dissolved organic nitrogen
MIXS:0000329	link_class_info	link to classification information	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Link to digitized soil maps or other soil classification information
MIXS:0000112	solar_irradiance	mean seasonal solar irradiance	measurement value	{float} {unit}	m	kilowatts per square meter per day, ergs per square centimeter per second	The amount of solar energy that arrives at a specific area of a surface during a specific time interval
MIXS:0000436	diss_carb_dioxide	dissolved carbon dioxide	measurement value	{float} {unit}	1	micromole per liter, milligram per liter	Concentration of dissolved carbon dioxide in the sample or liquid portion of the sample
MIXS:0000264	host_height	host height	measurement value	{float} {unit}	1	centimeter, millimeter, meter	The height of subject.
MIXS:0000048	adapters	adapters	adapter A and B sequence	{dna};{dna}	1		Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported;in uppercase letters
MIXS:0000692	conduc	conductivity	measurement value	{float} {unit}	1	milliSiemens per centimeter	Electrical conductivity of water.
MIXS:0000087	otu_db	OTU database	database and version	{database};{version}	1		"Reference database (i.e. sequences not generated as part of the current study) used to cluster new genomes in ""species-level"" OTUs, if any"
MIXS:0001130	animal_diet	food animal source diet	text or FOODON_03309997	{text}	m		If the isolate is from a food animal, the type of diet eaten by the food animal. Please list the main food staple and the setting, if appropriate. For a list of acceptable animal feed terms or categories, please see http://www.feedipedia.org. Multiple terms may apply and can be separated by pipes |Food product for animal covers foods intended for consumption by domesticated animals. Consult http://purl.obolibrary.org/obo/FOODON_03309997. If the proper descriptor is not listed please use text to describe the food type. Multiple terms can be separated by one or more pipes. If the proper descriptor is not listed please use text to describe the food product type.
MIXS:0001158	soil_conductivity	soil conductivity	measurement value	{float} {unit}	1	milliSiemens per centimeter	Conductivity of soil at time of sampling.
MIXS:0000089	host_pred_est_acc	host prediction estimated accuracy	false discovery rate	{text}	1		For each tool or approach used for host prediction, estimated false discovery rates should be included, either computed de novo or from the literature
MIXS:0000753	oxy_stat_samp	oxygenation status of sample	enumeration	[aerobic|anaerobic|other]	1		Oxygenation status of sample
MIXS:0001114	animal_intrusion	animal intrusion near sample source	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	m		Identification of animals intruding on the sample or sample site including invertebrates (such as pests or pollinators) and vertebrates (such as wildlife or domesticated animals). This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.
MIXS:0000091	associated resource	relevant electronic resources	reference to resource	{PMID} | {DOI} | {URL}	m		A related resource that is referenced, cited, or otherwise associated to the sequence. 
MIXS:0001117	cult_result	culture result	enumeration	[absent|active|inactive|negative|no|present|positive|yes]	1		Any result of a bacterial culture experiment reported as a binary assessment such as positive/negative, active/inactive.
MIXS:0000642	annual_temp	mean annual temperature	measurement value	{float} {unit}	1	degree Celsius	Mean annual temperature
MIXS:0000750	tidal_stage	tidal stage	enumeration	[low tide|ebb tide|flood tide|high tide]	1		Stage of tide
MIXS:0001118	cult_result_org	culture result organism	NCIT:C14250 or NCBI taxid	{TermLabel} {[termID]}|{integer}	m		Taxonomic information about the cultured organism(s).
MIXS:0001156	sequencing_location	sequencing location	text	{text}	1		The location the sequencing run was performed. Indicate the name of the lab or core facility where samples were sequenced.
MIXS:0000117	tot_phosp	total phosphorus	measurement value	{float} {unit}	1	micromole per liter, milligram per liter, parts per million	Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus
MIXS:0000010	geo_loc_name	geographic location (country and/or sea,region)	country or sea name (INSDC or GAZ): region(GAZ), specific location name	{term}: {term}, {text}	1		The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ).
MIXS:0000058	assembly_software	assembly software	name and version of software, parameters used	{software};{version};{parameters}	1		Tool(s) used for assembly, including version number and parameters
MIXS:0000644	annual_precpt	mean annual precipitation	measurement value	{float} {unit}	1	millimeter	The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.
MIXS:0001174	water_frequency	water delivery frequency	rate	{float}{unit}	1	per day, per week, per month	Number of water delivery events within a given period of time.
MIXS:0000859	genetic_mod	genetic modification	PMID, DOI, or URL	{PMID}|{DOI}|{URL}	m		Genetic modifications of the genome of an organism, which may occur naturally by spontaneous mutation, or be introduced by some experimental means, e.g. specification of a transgene or the gene knocked-out or details of transient transfection.
MIXS:0001151	samp_purpose	purpose of sampling	enumeration or {text}	[active surveillance in response to an outbreak|active surveillance not initiated by an outbreak|clinical trial|cluster investigation|environmental assessment|farm sample|field trial|for cause|industry internal investigation|market sample|passive surveillance|population based studies|research|research and development] or {text}	1		The reason that the sample was collected.
MIXS:0001097	atmospheric_data	atmospheric data	atmospheric data name;measurement value	{text};{float} {unit}	m		Measurement of atmospheric data;can include multiple data
MIXS:0000181	phosplipid_fatt_acid	phospholipid fatty acid	phospholipid fatty acid name;measurement value	{text};{float} {unit}	m	mole per gram, mole per liter, milligram per liter	Concentration of phospholipid fatty acids;can include multiple values
MIXS:0000431	magnesium	magnesium	measurement value	{float} {unit}	1	mole per liter, milligram per liter, parts per million, micromole per kilogram	Concentration of magnesium in the sample
MIXS:0001119	cult_target	culture target microbial analyte	NCIT:C14250 or NCBI taxid or culture independent	{TermLabel} {[termID]}|{integer}	m		The target microbial analyte in terms of investigation scope. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy.
MIXS:0000015	rel_to_oxygen	relationship to oxygen	enumeration	[aerobe|anaerobe|facultative|microaerophilic|microanaerobe|obligate aerobe|obligate anaerobe]	1		Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments
MIXS:0001180	animal_housing	animal housing system	EOL:0001605	{termLabel} {[termID]}	m		Description of the housing system of the livestock. This field accepts terms listed under terrestrial management housing system (http://opendata.inra.fr/EOL/EOL_0001605).
MIXS:0000412	pressure	pressure	measurement value	{float} {unit}	1	atmosphere	Pressure to which the sample is subject to, in atmospheres
MIXS:0000033	propagation	propagation	for virus: lytic, lysogenic, temperate, obligately lytic;for plasmid: incompatibility group;for eukaryote: asexual, sexual;other more specific values (e.g., incompatibility group) are allowed	{text}	1		The type of reproduction from the parent stock. Values for this field is specific to different taxa. For phage or virus: lytic/lysogenic/temperate/obligately lytic. For plasmids: incompatibility group. For eukaryotes: sexual/asexual. 
MIXS:0000577	root_med_carbon	rooting medium carbon	carbon source name;measurement value	{text};{float} {unit}	1	milligram per liter	Source of organic carbon in the culture rooting medium;e.g. sucrose.
MIXS:0000172	aminopept_act	aminopeptidase activity	measurement value	{float} {unit}	1	mole per liter per hour	Measurement of aminopeptidase activity
MIXS:0000118	wind_speed	wind speed	measurement value	{float} {unit}	1	kilometer per hour	speed of wind measured at the time of sampling.
MIXS:0001110	farm_water_source	farm watering water source	enumeration	[freshwater|brackish|saline|natural|manmade|estuary|lake|pond|canal|stream|river|melt pond|well|ditch|reservior|collected rainwater|municipal|storage tank]	m		Source of water used on the farm for irrigation of crops or watering of livestock.
MIXS:0000179	diss_hydrogen	dissolved hydrogen	measurement value	{float} {unit}	1	micromole per liter	Concentration of dissolved hydrogen
MIXS:0000435	density	density	measurement value	{float} {unit}	1	gram per cubic meter, gram per cubic centimeter, kilogram per cubic meter	Density of the sample, which is its mass per unit volume (aka volumetric mass density)
MIXS:0001155	sequencing_kit	sequencing kit	name of sequencing kit used	{text}	1		Pre-filled, ready-to-use reagent cartridges. Used to produce improved chemistry, cluster density and read length as well as improve quality (Q) scores. Reagent components are encoded to interact with the sequencing system to validate compatibility with user-defined applications. Indicate name of the sequencing kit.
MIXS:0000725	photon_flux	photon flux	measurement value	{float} {unit}	1	number of photons per second per unit area	Measurement of photon flux
MIXS:0000505	phosphate	phosphate	measurement value	{float} {unit}	1	micromole per liter	Concentration of phosphate
MIXS:0001120	plant_part_maturity	degree of plant part maturity	FOODON:03530050	{term label}{term ID}	1		A description of the stage of development of a plant or plant part based on maturity or ripeness. This field accepts terms listed under degree of plant maturity (http://purl.obolibrary.org/obo/FOODON_03530050).
MIXS:0000341	salinity_meth	salinity method	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Reference or method used in determining salinity.
MIXS:0000072	contam_score	contamination score	value	{float} percentage	1		The contamination score is based on the fraction of single-copy genes that are observed more than once in a query genome. The following scores are acceptable for;High Quality Draft: < 5%, Medium Quality Draft: < 10%, Low Quality Draft: < 10%. Contamination must be below 5% for a SAG or MAG to be deposited into any of the public databases
MIXS:0000255	host_age	host age	value	{float} {unit}	1	year, day, hour	Age of host at the time of sampling;relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees.
MIXS:0000051	seq_quality_check	sequence quality check	none or manually edited	[none|manually edited]	1		Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms). Applied only for sequences that are not submitted to SRA,ENA or DRA
MIXS:0001140	food_treat_proc	food treatment process	FOODON:03460111	{text}|{termLabel} {[termID]}	m		Used to specifically characterize a food product based on the treatment or processes applied to the product or any indexed ingredient. The processes include adding, substituting or removing components or modifying the food or component, e.g., through fermentation. Multiple values can be assigned. This fields accepts terms listed under food treatment process (http://purl.obolibrary.org/obo/FOODON_03460111).
MIXS:0000247	ances_data	ancestral data	text	{text}	1		Information about either pedigree or other ancestral information description (e.g. parental variety in case of mutant or selection), e.g. A/3*B (meaning [(A x B) x B] x B).
MIXS:0000490	alkyl_diethers	alkyl diethers	measurement value	{float} {unit}	1	mole per liter, microgram per gram sample	Concentration of alkyl diethers
MIXS:0001124	farm_equip_san	farm equipment sanitization	text or commercial name of sanitizer or class of sanitizer or active ingredient in sanitizer	{text} {float} {unit}	m	parts per million	Method used to sanitize growing and harvesting equipment. This can including type and concentration of sanitizing solution. Multiple terms can be separated by one or more pipes.
MIXS:0000703	down_par	downward PAR	measurement value	{float} {unit}	1	microEinstein per square meter per second, microEinstein per square centimeter per second	Visible waveband radiance and irradiance measurements in the water column
MIXS:0001159	soil_cover	soil cover	ENVO:00010483	{termLabel} {[termID]}	1		Description of the material covering the sampled soil. This field accepts terms under ENVO:00010483, environmental material.
MIXS:0000069	compl_score	completeness score	quality;percent completeness	[high|med|low];{percentage}	1		Completeness score is typically based on either the fraction of markers found as compared to a database or the percent of a genome found as compared to a closely related reference genome. High Quality Draft: >90%, Medium Quality Draft: >50%, and Low Quality Draft: < 50% should have the indicated completeness scores
MIXS:0000340	link_addit_analys	links to additional analysis	PMID,DOI or url	{PMID}|{DOI}|{URL}	1		Link to additional analysis results performed on the sample
MIXS:0001083	fao_class	soil_taxonomic/FAO classification	enumeration	[Acrisols|Andosols|Arenosols|Cambisols|Chernozems|Ferralsols|Fluvisols|Gleysols|Greyzems|Gypsisols|Histosols|Kastanozems|Lithosols|Luvisols|Nitosols|Phaeozems|Planosols|Podzols|Podzoluvisols|Rankers|Regosols|Rendzinas|Solonchaks|Solonetz|Vertisols|Yermosols]	1		Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups
MIXS:0001144	intended_consumer	intended consumer	FOODON_03510136 or NCBI taxid	{integer}|{termLabel} {[termID]}        	m		Food consumer type, human or animal, for which the food product is produced and marketed. This field accepts terms listed under food consumer group (http://purl.obolibrary.org/obo/FOODON_03510136) or NCBI taxid.
MIXS:0000738	soluble_react_phosp	soluble reactive phosphorus	measurement value	{float} {unit}	1	micromole per liter, milligram per liter, parts per million	Concentration of soluble reactive phosphorus
MIXS:0001116	crop_yield	crop yield	measurement value	{float}{unit}	1	kilogram per metre square	Amount of crop produced per unit or area of land.
MIXS:0000110	samp_store_temp	sample storage temperature	measurement value	{float} {unit}	1	degree Celsius	Temperature at which sample was stored, e.g. -80 degree Celsius.
MIXS:0000318	crop_rotation	history/crop rotation	crop rotation status;schedule	{boolean};{Rn/start_time/end_time/duration}	1		Whether or not crop is rotated, and if yes, rotation schedule.
MIXS:0001052	mechanical_damage	mechanical damage	damage type;body site	{text};{text}	m		Information about any mechanical damage exerted on the plant;can include multiple damages and sites.
MIXS:0001160	soil_pH	soil pH	measurement value	{float}	1		The pH of soil at time of sampling.
