Environmental package	Structured comment name	Definition	Expected value	Value syntax	Example	Preferred unit	Occurrence	MIXS ID	Item
food-farm environment	geo_loc_name	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology  (http://purl.bioontology.org/ontology/GAZ).	country or sea name (INSDC or GAZ): region(GAZ), specific location name	{term}: {term}, {text}	USA: Maryland, Bethesda		1	MIXS:0000010	geographic location (country and/or sea,region)
food-farm environment	collection_date	The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant.	date and time	{timestamp}	2018-05-11T10:00:00+01:00		1	MIXS:0000011	collection date
food-farm environment	env_broad_scale	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	Add terms that identify the major environment type(s) where your sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes e.g.: mangrove biome [ENVO:01000181]|estuarine biome [ENVO:01000020]	{termLabel} {[termID]}	forest biome [ENVO:01000174]		1	MIXS:0000012	broad-scale environmental context
food-farm environment	env_local_scale	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	Add terms that identify environmental entities having causal influences upon the entity at time of sampling, multiple terms can be separated by pipes, e.g.: shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]	{termLabel} {[termID]}	litter layer [ENVO:01000338]		1	MIXS:0000013	local environmental context
food-farm environment	env_medium	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	Add terms that identify the material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. Multiple terms can be separated by pipes e.g.: estuarine water [ENVO:01000301]|estuarine mud [ENVO:00002160]	{termLabel} {[termID]}	soil [ENVO:00001998]		1	MIXS:0000014	environmental medium
food-farm environment	seq_meth	Sequencing machine used. Where possible the term should be taken from the OBI list of DNA sequencers (http://purl.obolibrary.org/obo/OBI_0400103).	Text or OBI	{termLabel} {[termID]}|{text}	454 Genome Sequencer FLX [OBI:0000702]		1	MIXS:0000050	sequencing method
food-farm environment	samp_size	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.	measurement value	{float} {unit}	5 liters	liter, gram, cm^2	1	MIXS:0000001	amount or size of sample collected
food-farm environment	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	device name	{termLabel} {[termID]}|{text}	swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]		1	MIXS:0000002	sample collection device
food-farm environment	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.	PMID, DOI or URL	{PMID}|{DOI}|{URL}	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf		1	MIXS:0000037	nucleic acid extraction
food-farm environment	humidity	Amount of water vapour in the air, at the time of sampling.	measurement value	{float} {unit}	30% relative humidity	percentage	1	MIXS:0000100	humidity
food-farm environment	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	organism name; measurement value; enumeration	{text};{float} {unit};[ATP|MPN|qPCR|other]	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	colony forming units per milliliter; colony forming units per gram of dry weight	1	MIXS:0000103	organism count
food-farm environment	spikein_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	organism name;measurement value;enumeration	{text};{float} {unit};[ATP|MPN|qPCR|other]	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	colony forming units per milliliter; colony forming units per gram of dry weight	1	MIXS:0000103	spike-in organism count
food-farm environment	samp_stor_temp	Temperature at which sample was stored, e.g. -80 degree Celsius.	measurement value	{float} {unit}	-80 degree Celsius	degree Celsius	1	MIXS:0000110	sample storage temperature
food-farm environment	solar_irradiance	The amount of solar energy that arrives at a specific area of a surface during a specific time interval	measurement value	{float} {unit}	1.36 kilowatts per square meter per day	kilowatts per square meter per day, ergs per square centimeter per second	m	MIXS:0000112	mean seasonal solar irradiance
food-farm environment	ventilation_rate	Ventilation rate of the system in the sampled premises.	measurement value	{float} {unit}	750 cubic meter per minute	cubic meter per minute, liters per second	1	MIXS:0000114	ventilation rate
food-farm environment	samp_stor_dur	Duration for which the sample was stored. Indicate the duration for which the sample was stored written in ISO 8601 format.	duration	{duration}	P1Y6M		1	MIXS:0000116	sample storage duration
food-farm environment	wind_speed	speed of wind measured at the time of sampling.	measurement value	{float} {unit}	1.6 kilometers per hour	kilometer per hour	1	MIXS:0000118	wind speed
food-farm environment	salinity	The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.	measurement value	{float} {unit}	25 practical salinity unit	practical salinity unit, percentage	1	MIXS:0000183	salinity
food-farm environment	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	measurement value	{float} {unit}	1500 milliliter	milliliter, gram, milligram, square centimeter	1	MIXS:0000111	sample volume or weight for DNA extraction
food-farm environment	previous_land_use	Previous land use and dates.	land use name;date	{text};{timestamp}	fallow; 2018-05-11:T14:30Z		1	MIXS:0000315	history/previous land use
food-farm environment	crop_rotation	Whether or not crop is rotated, and if yes, rotation schedule.	crop rotation status;schedule	{boolean};{Rn/start_time/end_time/duration}	yes;R2/2017-01-01/2018-12-31/P6M		1	MIXS:0000318	history/crop rotation
food-farm environment	soil_type_meth	Reference or method used in determining soil series name or other lower-level classification.	PMID,DOI or url	{PMID}|{DOI}|{URL}	Frederick series; Weikert series		1	MIXS:0000334	soil type method
food-farm environment	tot_org_c_meth	Reference or method used in determining total organic carbon.	PMID,DOI or url	{PMID}|{DOI}|{URL}	https://www.epa.gov/sites/production/files/2015-12/documents/9060a.pdf		1	MIXS:0000337	total organic carbon method
food-farm environment	tot_nitro_cont_meth	Reference or method used in determining the total nitrogen.	PMID,DOI or url	{PMID}|{DOI}|{URL}	https://currentprotocols.onlinelibrary.wiley.com/doi/abs/10.1002/0471142913.fab0102s00		m	MIXS:0000338	total nitrogen content method
food-farm environment	salinity_meth	Reference or method used in determining salinity.	PMID,DOI or url	{PMID}|{DOI}|{URL}	PMID: 22895776		1	MIXS:0000341	salinity method
food-farm environment	host_age	Age of host at the time of sampling; relevant scale depends on species and study, e.g. Could be seconds for amoebae or centuries for trees.	value	{float} {unit}	10 days	year, day, hour	1	MIXS:0000255	host age
food-farm environment	host_dry_mass	Measurement of dry mass.	measurement value	{float} {unit}	500 gram	kilogram, gram	1	MIXS:0000257	host dry mass
food-farm environment	host_height	The height of subject.	measurement value	{float} {unit}	1 meter	centimeter, millimeter, meter	1	MIXS:0000264	host height
food-farm environment	host_length	The length of subject.	measurement value	{float} {unit}	1 meter	centimeter, millimeter, meter	1	MIXS:0000256	host length
food-farm environment	host_tot_mass	Total mass of the host at collection, the unit depends on host.	measurement value	{float} {unit}	2500 gram	kilogram, gram	1	MIXS:0000263	host total mass
food-farm environment	root_med_carbon	Source of organic carbon in the culture rooting medium; e.g. sucrose.	carbon source name;measurement value	{text};{float} {unit}	sucrose	milligram per liter	1	MIXS:0000577	rooting medium carbon
food-farm environment	root_med_macronutr	Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170 mg/L).	macronutrient name;measurement value	{text};{float} {unit}	KH2PO4;170¬†milligram per liter	milligram per liter	1	MIXS:0000578	rooting medium macronutrients
food-farm environment	root_med_micronutr	Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2 mg/L).	micronutrient name;measurement value	{text};{float} {unit}	H3BO3;6.2¬†milligram per liter	milligram per liter	1	MIXS:0000579	rooting medium micronutrients
food-farm environment	depth	The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	measurement value	{float} {unit}	10 meter	meter	1	MIXS:0000018	depth
food-farm environment	season_temp	Mean seasonal air temperature.	measurement value	{float} {unit}	18 degree Celsius	degree Celsius	1	MIXS:0000643	mean seasonal air temperature
food-farm environment	season_precpt	The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.	measurement value	{float} {unit}	75 millimeters	millimeter	m	MIXS:0000645	mean seasonal precipitation
food-farm environment	tot_org_carb	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content.	percent TOC	{percentage}	0.02	gram Carbon per kilogram sample material	1	MIXS:0000533	total organic carbon
food-farm environment	tot_nitro_content	Total nitrogen content of the sample.	measurement value	{float} {unit}	35 milligrams Nitrogen per kilogram of soil	milligrams Nitrogen per kilogram of soil	m	MIXS:0000530	total nitrogen content
food-farm environment	conduc	Electrical conductivity of water.	measurement value	{float} {unit}	10 milliSiemens per centimeter	milliSiemens per centimeter	1	MIXS:0000692	conductivity
food-farm environment	turbidity	Measure of the amount of cloudiness or haziness in water caused by individual particles.	measurement value	{float} {unit}	0.3 nephelometric turbidity units	formazin turbidity unit, formazin nephelometric units, nephelometric turbidity units	1	MIXS:0000191	turbidity
food-farm environment	size_frac_low	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample.	value	{float} {unit}	0.2 micrometer	micrometer	1	MIXS:0000735	size-fraction lower threshold
food-farm environment	size_frac_up	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample.	value	{float} {unit}	20 micrometer	micrometer	1	MIXS:0000736	size-fraction upper threshold
food-farm environment	temp	Temperature of the sample at the time of sampling.	measurement value	{float} {unit}	25 degree Celsius	degree Celsius	1	MIXS:0000113	temperature
food-farm environment	ventilation_type	Ventilation system used in the sampled premises.	ventilation type name	{text}	Operable windows		m	MIXS:0000756	ventilation type
food-farm environment	wind_direction	Wind direction is the direction from which a wind originates.	cardinal wind direction or azimuth degrees	{text}	0 degrees; Northwest	degrees or cardinal direction	1	MIXS:0000757	wind direction
food-farm environment	genetic_mod	Genetic modifications of the genome of an organism, which may occur naturally by spontaneous mutation, or be introduced by some experimental means, e.g. specification of a transgene or the gene knocked-out or details of transient transfection.	PMID, DOI, or URL	{PMID}|{DOI}|{URL}	aox1A transgenic		m	MIXS:0000859	genetic modification
food-farm environment	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	PATO or HP	{text};{termLabel} {[termID]}	seed pod; green [PATO:0000320]		1	MIXS:0000874	host phenotype
food-farm environment	ph	pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid.	measurement value	{float}	7.2		1	MIXS:0001001	pH
food-farm environment	ances_data	Information about either pedigree or other ancestral information description (e.g. parental variety in case of mutant or selection), e.g. A/3*B (meaning [(A x B) x B] x B).	text	{text}	A/3*B		1	MIXS:0000247	ancestral data
food-farm environment	biotic_regm	Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi.	free text	{text}	sample inoculated with Rhizobium spp. Culture		m	MIXS:0001038	biotic regimen
food-farm environment	chem_administration	List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi.	CHEBI;timestamp	{termLabel} {[termID]};{timestamp}	agar [CHEBI:2509];2018-05-11T20:00Z		m	MIXS:0000751	chemical administration
food-farm environment	growth_habit	Characteristic shape, appearance or growth form of a plant species.	enumeration	[erect|semi-erect|spreading|prostrate]	spreading		1	MIXS:0001044	growth habit
food-farm environment	host_disease_stat	List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text.	disease name or Disease Ontology term	{text}|{termLabel} {[termID]}	downy mildew		1	MIXS:0000031	host disease status
food-farm environment	host_genotype	Observed genotype.	genotype	{text}	Ts		1	MIXS:0000365	host genotype
food-farm environment	host_taxid	NCBI taxon id of the host, e.g. 9606.	NCBI taxon identifier	{NCBI taxid}	4530		1	MIXS:0000250	host taxid
food-farm environment	mechanical_damage	Information about any mechanical damage exerted on the plant; can include multiple damages and sites.	damage type;body site	{text};{text}	pruning;bark		m	MIXS:0001052	mechanical damage
food-farm environment	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types.	perturbation type name;perturbation interval and duration	{text};{Rn/start_time/end_time/duration}	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M		m	MIXS:0000754	perturbation
food-farm environment	root_cond	Relevant rooting conditions such as field plot size, sowing density, container dimensions, number of plants per container.	PMID,DOI,url or free text	{PMID}|{DOI}|{URL}|{text}	http://himedialabs.com/TD/PT158.pdf		1	MIXS:0001061	rooting conditions
food-farm environment	root_med_ph	pH measurement of the culture rooting medium; e.g. 5.5.	measurement value	{float}	7.5		1	MIXS:0001062	rooting medium pH
food-farm environment	tillage	Note method(s) used for tilling	enumeration	[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]	chisel		1	MIXS:0001081	history/tillage
food-farm environment	ph_meth	Reference or method used in determining pH.	PMID,DOI or url	{PMID}|{DOI}|{URL}	https://www.epa.gov/sites/production/files/2015-12/documents/9040c.pdf		1	MIXS:0001106	pH method
food-farm environment	growth_medium	A liquid or gel containing nutrients, salts, and other factors formulated to support the growth of microorganisms, cells, or plants (National Cancer Institute Thesaurus).  The name of the medium used to grow the microorganism.	text	{text}	LB broth		1	MIXS:0001108	growth medium
food-farm environment	season	The season when sampling occurred. Any of the four periods into which the year is divided by the equinoxes and solstices. This field accepts terms listed under season (http://purl.obolibrary.org/obo/NCIT_C94729).	autumn [NCIT:C94733], spring [NCIT:C94731], summer [NCIT:C94732], winter [NCIT:C94730]	{termLabel} {[termID]}	autumn [NCIT:C94733]		1	MIXS:0000829	season
food-farm environment	food_product_type	A food product type is a class of food products that is differentiated by its food composition (e.g., single- or multi-ingredient), processing and/or consumption characteristics. This does not include brand name products but it may include generic food dish categories. This field accepts terms under food product type (http://purl.obolibrary.org/obo/FOODON:03400361). For terms related to food product for an animal, consult food product for animal (http://purl.obolibrary.org/obo/FOODON_03309997). If the proper descriptor is not listed please use text to describe the food type. Multiple terms can be separated by one or more pipes.	FOODON:00001002 or FOODON:03309997	{text}|{termLabel} {[termID]}	shrimp (peeled, deep-frozen) [FOODON:03317171]		m	MIXS:0001184	food product type
food-farm environment	samp_type	The type of material from which the sample was obtained. For the Hydrocarbon package, samples include types like core, rock trimmings, drill cuttings, piping section, coupon, pigging debris, solid deposit, produced fluid, produced water, injected water, swabs, etc. For the Food Package, samples are usually categorized as food, body products or tissues, or environmental material. This field accepts terms listed under environmental specimen (http://purl.obolibrary.org/obo/GENEPIO_0001246).	GENEPIO:0001246	{termLabel} {[termID]}	built environment sample [GENEPIO:0001248]		1	MIXS:0000998	sample type (host or environmental context)
food-farm environment	farm_water_source	Source of water used on the farm for irrigation of crops or watering of livestock.	enumeration	[freshwater|brackish|saline|natural|manmade|estuary|lake|pond|canal|stream|river|melt pond|well|ditch|reservior|collected rainwater|municipal|storage tank]	water well (ENVO:01000002)		m	MIXS:0001110	farm watering water source
food-farm environment	plant_water_method	Description of the equipment or method used to distribute water to crops. This field accepts termed listed under irrigation process (http://purl.obolibrary.org/obo/AGRO_00000006). Multiple terms can be separated by pipes.	AGRO_00000006	{termLabel} {[termID]}	drip irrigation process [AGRO:00000056]		1	MIXS:0001111	plant water delivery method
food-farm environment	air_PM_concen	Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM	particulate matter name;measurement value	{text};{float} {unit}	PM2.5;10 microgram per cubic meter	micrograms per cubic meter	m	MIXS:0000108	air particulate matter concentration
food-farm environment	animal_feed_equip	Description of the feeding equipment used for livestock. This field accepts terms listed under feed delivery (http://opendata.inra.fr/EOL/EOL_0001757). Multiple terms can be separated by pipes.	EOL_0001757	{termLabel}{[termID]}	self feeding [EOL:0001645]| straight feed trough [EOL:0001661]		m	MIXS:0001113	animal feeding equipment
food-farm environment	animal_intrusion	Identification of animals intruding on the sample or sample site including invertebrates (such as pests or pollinators) and vertebrates (such as wildlife or domesticated animals). This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy. Multiple terms can be separated by pipes.	NCIT:C14250 or NCBI taxid	{termLabel} {[termID]}|{integer}	Thripidae [NCBITaxon:45053]		m	MIXS:0001114	animal intrusion near sample source
food-farm environment	anim_water_method	Description of the equipment or method used to distribute water to livestock. This field accepts termed listed under water delivery equipment (http://opendata.inra.fr/EOL/EOL_0001653). Multiple terms can be separated by pipes.	EOL_0001653	{termLabel} {[termID]}	water trough [EOL:0001618]		m	MIXS:0001115	animal water delivery method
food-farm environment	crop_yield	Amount of crop produced per unit or area of land.	measurement value	{float}{unit}	570 kilogram per metre square	kilogram per metre square	1	MIXS:0001116	crop yield
food-farm environment	cult_result	Any result of a bacterial culture experiment reported as a binary assessment such as positive/negative, active/inactive.	enumeration	[absent|active|inactive|negative|no|present|positive|yes]	positive		1	MIXS:0001117	culture result
food-farm environment	cult_result_org	Taxonomic information about the cultured organism(s).	NCIT:C14250 or NCBI taxid	{TermLabel} {[termID]}|{integer}	Listeria monocytogenes [NCIT:C86502]		m	MIXS:0001118	culture result organism
food-farm environment	cult_target	The target microbial analyte in terms of investigation scope. This field accepts terms under organism (http://purl.obolibrary.org/obo/NCIT_C14250). This field also accepts identification numbers from NCBI under https://www.ncbi.nlm.nih.gov/taxonomy.	NCIT:C14250 or NCBI taxid or culture independent	{TermLabel} {[termID]}|{integer}	Listeria monocytogenes [NCIT:C86502]		m	MIXS:0001119	culture target microbial analyte
food-farm environment	plant_part_maturity	A description of the stage of development of a plant or plant part based on maturity or ripeness. This field accepts terms listed under degree of plant maturity (http://purl.obolibrary.org/obo/FOODON_03530050).	FOODON:03530050	{term label}{term ID}	ripe or mature [FOODON:03530052]		1	MIXS:0001120	degree of plant part maturity
food-farm environment	adjacent_environment	Description of the environmental system or features that are adjacent to the sampling site. This field accepts terms under ecosystem (http://purl.obolibrary.org/obo/ENVO_01001110) and human construction (http://purl.obolibrary.org/obo/ENVO_00000070). Multiple terms can be separated by pipes.	ENVO_01001110 or ENVO_00000070	{termLabel}{[termID]}	estuarine biome [ENVO:01000020]		m	MIXS:0001121	environment adjacent to site
food-farm environment	water_source_adjac	Description of the environmental features that are adjacent to the farm water source. This field accepts terms under ecosystem (http://purl.obolibrary.org/obo/ENVO_01001110) and human construction (http://purl.obolibrary.org/obo/ENVO_00000070). Multiple terms can be separated by pipes.	ENVO_01001110 or ENVO_00000070	{text}	feedlot [ENVO:01000627]		m	MIXS:0001122	environmental feature adjacent water source
food-farm environment	farm_equip_shared	List of planting, growing or harvesting equipment shared with other farms. This field accepts terms listed under agricultural implement (http://purl.obolibrary.org/obo/AGRO_00000416). Multiple terms can be separated by pipes.	AGRO:00000416	{termLabel} {[termID]}	combine harvester [AGRO:00000473]		m	MIXS:0001123	equipment shared with other farms
food-farm environment	farm_equip_san	Method used to sanitize growing and harvesting equipment. This can including type and concentration of sanitizing solution.  Multiple terms can be separated by one or more pipes.	text or commercial name of sanitizer or class of sanitizer or active ingredient in sanitizer	{text} {float} {unit}	hot water pressure wash, hypochlorite solution, 50 parts per million	parts per million	m	MIXS:0001124	farm equipment sanitization
food-farm environment	farm_equip_san_freq	The number of times farm equipment is cleaned. Frequency of cleaning might be on a Daily basis, Weekly, Monthly, Quarterly or Annually.	text	{text}	Biweekly		1	MIXS:0001125	farm equipment sanitization frequency
food-farm environment	farm_equip	List of equipment used for planting, fertilization, harvesting, irrigation, land levelling, residue management, weeding or transplanting during the growing season.  This field accepts terms listed under agricultural implement (http://purl.obolibrary.org/obo/AGRO_00000416). Multiple terms can be separated by pipes.	AGRO:00000416	{termLabel} {[termID]}	combine harvester [AGRO:00000473]		m	MIXS:0001126	farm equipment used
food-farm environment	fertilizer_admin	Type of fertilizer or amendment added to the soil or water for the purpose of improving substrate health and quality for plant growth. This field accepts terms listed under agronomic fertilizer (http://purl.obolibrary.org/obo/AGRO_00002062). Multiple terms may apply and can be separated by pipes, listing in reverse chronological order.	AGRO_00002062	{termLabel} {[termID]}	fish emulsion [AGRO:00000082]		1	MIXS:0001127	fertilizer administration
food-farm environment	fertilizer_date	Date of administration of soil amendment or fertilizer. Multiple terms may apply and can be separated by pipes, listing in reverse chronological order.	date and time	{timestamp}	2018-05-11T10:00:00+01:00		1	MIXS:0001128	fertilizer administration date
food-farm environment	animal_group_size	The number of food animals of the same species that are maintained together as a unit, i.e. a herd or flock.	value	{integer}	80		1	MIXS:0001129	food animal group size
food-farm environment	animal_diet	If the isolate is from a food animal, the type of diet eaten by the food animal.  Please list the main food staple and the setting, if appropriate.  For a list of acceptable animal feed terms or categories, please see http://www.feedipedia.org.  Multiple terms may apply and can be separated by pipes |Food product for animal covers foods intended for consumption by domesticated animals. Consult http://purl.obolibrary.org/obo/FOODON_03309997. If the proper descriptor is not listed please use text to describe the food type. Multiple terms can be separated by one or more pipes. If the proper descriptor is not listed please use text to describe the food product type.	text or FOODON_03309997	{text}	Hay [FOODON_03301763]		m	MIXS:0001130	food animal source diet
food-farm environment	food_contact_surf	The specific container or coating materials in direct contact with the food. Multiple values can be assigned.  This field accepts terms listed under food contact surface (http://purl.obolibrary.org/obo/FOODON_03500010).	FOODON:03500010	{text}|{termLabel} {[termID]}	cellulose acetate [FOODON:03500034]		m	MIXS:0001131	food contact surface
food-farm environment	food_contain_wrap	Type of container or wrapping defined by the main container material, the container form, and the material of the liner lids or ends. Also type of container or wrapping by form; prefer description by material first, then by form. This field accepts terms listed under food container or wrapping (http://purl.obolibrary.org/obo/FOODON_03490100).	FOODON:03490100	{text}|{termLabel} {[termID]}	Plastic shrink-pack [FOODON:03490137]		1	MIXS:0001132	food container or wrapping
food-farm environment	food_harvest_proc	A harvesting process is a process which takes in some food material from an individual or community of plant or animal organisms in a given context and time, and outputs a precursor or consumable food product. This may include a part of an organism or the whole, and may involve killing the organism.	free text	{text}	hand-picked		m	MIXS:0001133	Food harvesting process
food-farm environment	food_pack_medium	The medium in which the food is packed for preservation and handling or the medium surrounding homemade foods, e.g., peaches cooked in sugar syrup. The packing medium may provide a controlled environment for the food. It may also serve to improve palatability and consumer appeal.  This includes edible packing media (e.g. fruit juice), gas other than air (e.g. carbon dioxide), vacuum packed, or packed with aerosol propellant. This field accepts terms under food packing medium (http://purl.obolibrary.org/obo/FOODON_03480020). Multiple terms may apply and can be separated by pipes.	FOODON:03480020	{text}|{termLabel} {[termID]}	vacuum-packed [FOODON:03480027]		m	MIXS:0001134	food packing medium
food-farm environment	food_preserv_proc	The methods contributing to the prevention or retardation of microbial, enzymatic or oxidative spoilage and thus to the extension of shelf life. This field accepts terms listed under food preservation process (http://purl.obolibrary.org/obo/FOODON_03470107).	FOODON:03470107	{text}|{termLabel} {[termID]}	food slow freezing [FOODON:03470128]		m	MIXS:0001135	food preservation process
food-farm environment	food_prod_char	Descriptors of the food production system such as wild caught, free-range, organic, free-range, industrial, dairy, beef.	text	{text}	wild caught		m	MIXS:0001136	food production characteristics
food-farm environment	prod_label_claims	"Labeling claims containing descriptors such as wild caught, free-range, organic, free-range, industrial, hormone-free, antibiotic free, cage free. Can include more than one term, separated by "";"""	text	{text}	free range		m		production labeling claims
food-farm environment	food_trav_mode	A descriptor for the method of movement of food commodity along the food distribution system.  This field accepts terms listed under travel mode (http://purl.obolibrary.org/obo/GENEPIO_0001064). If the proper descrptor is not listed please use text to describe the mode of travel. Multiple terms can be separated by one or more pipes.	GENEPIO:0001064	{termLabel} {[termID]}	train travel [GENEPIO:0001060]		m	MIXS:0001137	food shipping transportation method
food-farm environment	food_trav_vehic	A descriptor for the mobile machine which is used to transport food commodities along the food distribution system.  This field accepts terms listed under vehicle (http://purl.obolibrary.org/obo/ENVO_01000604). If the proper descrptor is not listed please use text to describe the mode of travel. Multiple terms can be separated by one or more pipes.	ENVO:01000604	{text}|{termLabel} {[termID]}	aircraft [ENVO:01001488]|car [ENVO:01000605]		m	MIXS:0001138	Food shipping transportation vehicle
food-farm environment	food_source	Type of plant or animal from which the food product or its major ingredient is derived or a chemical food source [FDA CFSAN 1995].	FOODON term	{termLabel} {[termID]}	giant tiger prawn [FOODON:03412612]		1	MIXS:0001139	food source
food-farm environment	food_treat_proc	Used to specifically characterize a food product based on the treatment or processes applied to the product or any indexed ingredient. The processes include adding, substituting or removing components or modifying the food or component, e.g., through fermentation. Multiple values can be assigned. This fields accepts terms listed under food treatment process (http://purl.obolibrary.org/obo/FOODON_03460111).	FOODON:03460111	{text}|{termLabel} {[termID]}	gluten removal process [FOODON:03460750]		m	MIXS:0001140	food treatment process
food-farm environment	extr_weather_event	Unusual weather events that may have affected microbial populations. Multiple terms can be separated by pipes, listed in reverse chronological order.	enumeration	[drought|dust storm|extreme cold|extreme heat|flood|frost|hail|high precipitationhigh winds]	hail		m	MIXS:0001141	extreme weather event
food-farm environment	date_extr_weath	Date of unusual weather events that may have affected microbial populations. Multiple terms can be separated by pipes, listed in reverse chronological order.	date	{timestamp}	2018-05-11:T14:30Z		m	MIXS:0001142	extreme weather date
food-farm environment	host_subspecf_genlin	Information about the genetic distinctness of the host organism below the subspecies level e.g., serovar, serotype, biotype, ecotype, variety, cultivar, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.	{rank name}:{text}	serovar:Newport, variety:glabrum, cultivar: Red Delicious		m	MIXS:0001318	host subspecific genetic lineage
